Channel 1,Channel 2,Channel 3
181,204,220
180,203,219
180,203,219
181,204,220
181,204,220
179,202,218
177,200,216
176,199,215
178,201,217
178,201,217
179,202,218
180,203,219
180,203,219
181,204,220
181,204,220
181,204,220
180,203,219
181,204,220
182,205,221
181,204,220
180,203,219
180,203,219
180,203,219
180,203,219
180,203,219
179,202,218
179,202,218
178,201,217
179,202,218
181,204,220
181,204,220
181,204,220
182,205,221
182,205,221
182,205,221
182,205,221
182,205,221
182,205,221
182,205,221
182,205,221
181,204,220
181,204,220
181,204,220
181,204,220
181,204,220
181,204,220
181,204,220
181,204,220
179,202,218
177,200,216
176,199,215
179,202,218
181,204,220
181,204,220
180,203,219
181,204,220
180,203,219
180,203,219
181,204,220
182,205,221
181,204,220
180,203,219
181,204,220
182,205,221
182,205,221
182,205,221
185,208,224
181,204,220
182,204,222
178,200,218
178,201,217
181,204,220
183,206,221
178,201,216
173,196,212
176,199,215
182,204,222
182,204,222
182,203,224
168,190,208
165,189,207
174,199,215
168,194,210
169,195,211
173,202,217
176,205,220
176,202,219
183,209,226
163,187,205
152,176,194
166,188,206
167,189,207
136,158,176
87,109,127
36,58,76
38,58,76
65,79,102
74,86,110
53,67,90
27,41,64
13,27,50
44,58,81
60,74,97
53,67,90
52,68,91
52,68,91
54,69,95
52,67,93
33,47,75
52,66,94
56,73,100
43,60,87
28,41,67
38,52,75
36,48,72
42,56,75
44,53,73
38,48,66
37,44,64
44,51,71
51,55,80
38,42,67
15,19,44
18,22,47
21,25,49
19,24,45
13,20,40
10,17,36
13,19,42
18,24,47
20,26,49
14,20,43
21,27,50
40,46,69
44,49,74
33,38,63
56,61,86
55,60,85
57,62,87
53,58,83
36,41,66
26,31,56
27,32,57
22,27,52
15,22,49
20,27,54
29,34,59
22,28,51
22,24,48
33,37,56
20,21,41
17,19,37
23,25,43
27,29,47
17,21,39
17,24,41
16,22,41
43,50,69
40,50,68
17,27,45
23,30,49
18,25,44
11,18,37
11,18,37
13,21,38
18,26,43
43,52,66
34,43,57
22,29,44
13,20,35
16,24,37
8,16,29
13,22,32
3,12,22
10,19,29
10,19,29
13,19,30
14,20,31
12,18,29
9,15,26
13,19,30
14,20,31
11,17,30
15,21,34
18,24,37
15,21,34
13,20,35
31,38,53
37,46,60
19,28,42
17,28,42
29,42,56
31,44,60
14,29,45
42,57,73
61,76,92
22,35,51
49,62,78
63,73,90
19,29,46
18,28,45
20,30,47
11,20,34
19,28,42
34,41,56
27,34,49
21,29,42
21,29,42
34,41,58
52,59,76
99,106,123
82,89,106
71,78,95
70,77,94
69,76,95
18,25,44
26,33,52
64,71,90
96,103,123
109,116,136
155,162,182
104,111,131
58,64,87
91,98,118
119,128,148
88,98,116
86,98,116
94,106,124
115,129,147
107,121,139
110,124,142
77,91,109
7,21,39
31,45,63
146,162,179
200,218,235
185,203,220
173,196,212
181,204,220
181,206,222
182,205,221
181,204,220
178,201,217
176,199,215
178,201,217
178,201,217
178,201,217
180,203,219
180,203,219
179,202,218
179,202,218
181,204,220
182,205,221
180,203,219
181,203,221
183,205,223
181,204,220
180,203,219
179,202,218
180,203,219
180,203,219
180,203,219
180,203,219
181,204,220
180,203,219
177,200,216
176,199,215
179,202,218
182,205,221
183,206,222
182,205,221
181,204,220
178,201,217
178,201,217
180,203,219
182,205,221
182,205,221
181,204,220
181,204,220
182,205,221
182,205,221
181,204,220
180,203,219
178,201,217
176,199,215
177,200,216
178,201,217
179,202,218
180,203,219
179,202,218
179,202,218
179,202,218
178,201,217
177,200,216
176,199,215
175,198,214
179,202,218
179,202,218
180,203,219
181,204,220
176,199,215
174,197,213
178,201,217
174,197,213
176,199,215
177,200,216
178,201,217
179,202,218
180,203,219
181,204,220
180,203,219
178,201,217
179,202,218
180,203,219
180,203,219
180,203,219
180,203,219
181,204,220
180,203,219
179,202,218
180,203,219
179,202,218
178,201,217
177,200,216
177,200,216
177,200,216
176,199,215
175,198,214
176,199,215
176,199,215
174,197,213
174,197,213
179,202,218
181,204,220
179,202,218
177,200,216
179,202,218
179,202,218
179,202,218
178,201,217
176,199,215
176,199,215
178,201,217
181,204,220
178,201,217
176,199,215
176,199,215
178,201,217
178,203,219
178,203,219
176,201,217
174,199,215
176,199,215
175,198,214
175,198,214
175,198,214
176,199,215
176,199,215
174,199,215
174,199,215
174,199,215
173,198,214
176,199,215
178,201,217
178,201,217
176,199,215
176,199,215
178,201,217
178,201,217
179,202,218
178,201,217
